English ,Hebrew
the,ה
of,שֶׁל
and,וכן
to,ל
a,א
in,ב
for,ל
is,הוא
on,עַל
that,זֶה
by,על ידי
this,זֶה
with,עם
i,אני
you,אתה
it,זה
not,לֹא
or,אוֹ
be,לִהיוֹת
are,הם
from,מ
at,בְּ-
as,כפי ש
your,שֶׁלְךָ
all,את כל
have,יש
new,חָדָשׁ
more,יותר
an,AN
was,היה
we,אָנוּ
will,רָצוֹן
home,בית
can,פחית
us,לָנוּ
about,על אודות
if,אם
page,עמוד
my,שֶׁלִי
has,יש ל
search,לחפש
free,חינם
but,אבל
our,שֶׁלָנוּ
one,אחד
other,אַחֵר
do,לַעֲשׂוֹת
no,לא
information,מֵידָע
time,זְמַן
they,הֵם
site,אֲתַר
he,הוא
up,לְמַעלָה
may,מאי
what,מה
which,איזה
their,שֶׁלָהֶם
news,חֲדָשׁוֹת
out,הַחוּצָה
use,להשתמש
any,כל
there,שם
see,לִרְאוֹת
only,רק
so,כך
his,שֶׁלוֹ
when,מתי
contact,איש קשר
here,כאן
business,עֵסֶק
who,WHO
web,אינטרנט
also,גַם
now,עַכשָׁיו
help,עֶזרָה
get,לקבל
pm,אחר הצהריים
view,נוף
online,באינטרנט
c,ג
e,ה
first,ראשון
am,אני
been,להיות
would,היה
how,אֵיך
were,היו
me,לִי
s,ג
services,שירותים
some,כמה
these,אלה
click,נְקִישָׁה
its,שֶׁלָה
like,כמו
service,שֵׁרוּת
x,איקס
than,מאשר
find,למצוא
price,מחיר
date,תַאֲרִיך
back,חזור
top,חלק עליון
people,אֲנָשִׁים
had,היה
list,רשימה
name,שֵׁם
just,רַק
over,על
state,מדינה
year,שָׁנָה
day,יְוֹם
into,לְתוֹך
email,אימייל
two,שתיים
health,בְּרִיאוּת
n,נ
world,עוֹלָם
re,מִחָדָשׁ
next,הַבָּא
used,בשימוש
go,ללכת
b,ב
work,עֲבוֹדָה
last,אחרון
most,רוב
products,מוצרים
music,מוּסִיקָה
buy,לִקְנוֹת
data,נתונים
make,עשה
them,אוֹתָם
should,צריך
product,מוצר
system,מערכת
post,הודעה
her,שֶׁלָה
city,עִיר
t,t
add,לְהוֹסִיף
policy,מְדִינִיוּת
number,מספר
such,כגון
please,אנא
available,זמין
copyright,זכויות יוצרים
support,תמיכה
message,הוֹדָעָה
after,לאחר
best,הטוב ביותר
software,תוֹכנָה
then,לאחר מכן
jan,ינואר
good,טוֹב
video,וִידֵאוֹ
well,נו
d,ד
where,איפה
info,מידע
rights,זכויות
public,פּוּמְבֵּי
books,ספרים
high,גָבוֹהַ
school,בית ספר
through,דרך
m,M
each,כל אחד
links,קישורים
she,היא
review,סקירה
years,שנים
order,להזמין
very,מאוד
privacy,פְּרָטִיוּת
book,סֵפֶר
items,פריטים
company,חֶברָה
r,ר '
read,לקרוא
group,קְבוּצָה
sex,מִין
need,צוֹרֶך
many,רב
user,מִשׁתַמֵשׁ
said,אמר
de,דה
does,כן
set,מַעֲרֶכֶת
under,תַחַת
general,כללי
research,מחקר
university,אוּנִיבֶרְסִיטָה
january,יָנוּאָר
mail,דוֹאַר
full,מלא
map,מַפָּה
reviews,ביקורות
program,תכנית
life,חַיִים
know,לָדַעַת
games,משחקים
way,דֶרֶך
days,ימים
management,הַנהָלָה
p,עמ '
part,חֵלֶק
could,הָיָה יָכוֹל
great,גדול
united,מאוחד
hotel,מלון
real,אמיתי
f,ג
item,פריט
international,בינלאומי
center,מֶרְכָּז
ebay,eBay
must,צריך
store,חנות
travel,לִנְסוֹעַ
comments,הערות
made,עָשׂוּי
development,התפתחות
report,להגיש תלונה
off,כבוי
member,חבר
details,פרטים
line,קַו
terms,מונחים
before,לפני
hotels,בתי מלון
did,כן
send,לִשְׁלוֹחַ
right,ימין
type,סוּג
because,כי
local,מְקוֹמִי
those,הָהֵן
using,באמצעות
results,תוצאות
office,מִשׂרָד
education,חינוך
national,לאומי
car,אוטו
design,לְעַצֵב
take,לקחת
posted,פורסם
internet,מרשתת
address,כתובת
community,קהילה
within,בְּתוֹך
states,מדינות
area,אֵזוֹר
want,רוצה
phone,טלפון
dvd,DVD
shipping,משלוח
reserved,שמורות
subject,נושא
between,בֵּין
forum,פוֹרוּם
family,מִשׁפָּחָה
l,L.
long,ארוך
based,מבוסס
w,w
code,קוד
show,הופעה
o,O.
even,אֲפִילוּ
black,שָׁחוֹר
check,חשבון
special,מיוחד
prices,מחירים
website,אתר אינטרנט
index,אינדקס
being,להיות
women,נשים
much,הַרבֵּה
sign,סִימָן
file,קוֹבֶץ
link,קישור
open,לִפְתוֹחַ
today,היום
technology,טֶכנוֹלוֹגִיָה
south,דָרוֹם
case,מקרה
project,פּרוֹיֶקט
same,אותו
pages,עמודים
uk,בְּרִיטַנִיָה
version,גִרְסָה
section,סָעִיף
own,שֶׁלוֹ
found,מצאתי
sports,ספורט
house,בַּיִת
related,קָשׁוּר
security,בִּטָחוֹן
both,שניהם
g,ז
county,מָחוֹז
american,אֲמֶרִיקָאִי
photo,תמונה
game,מִשְׂחָק
members,חברים
power,כּוֹחַ
while,בזמן
care,לְטַפֵּל
network,רֶשֶׁת
down,מטה
computer,מַחשֵׁב
systems,מערכות
three,שְׁלוֹשָׁה
total,"סה""כ"
place,מקום
end,סוֹף
following,הבא
download,הורד
h,ח
him,אוֹתוֹ
without,לְלֹא
per,לְכָל
access,גִישָׁה
think,לַחשׁוֹב
north,צָפוֹן
resources,אֶמְצָעִי
current,נוֹכְחִי
posts,פוסטים
big,גָדוֹל
media,כְּלֵי תִקְשׁוֹרֶת
law,חוֹק
control,לִשְׁלוֹט
water,מים
history,הִיסטוֹרִיָה
pictures,תמונות
size,גודל
art,אומנות
personal,אישי
since,מאז
including,לְרַבּוֹת
guide,להנחות
shop,לִקְנוֹת
directory,מַדרִיך
board,גלשן
location,מקום
change,שינוי
white,לבן
text,טֶקסט
small,קָטָן
rating,דֵרוּג
rate,ציון
government,מֶמְשָׁלָה
children,יְלָדִים
during,בְּמַהֲלָך
usa,"ארה""ב"
return,לַחֲזוֹר
students,סטודנטים
v,v
shopping,קניות
account,חֶשְׁבּוֹן
times,פִּי
sites,אתרים
level,רָמָה
digital,דִיגִיטָלי
profile,פּרוֹפִיל
previous,קודם
form,טופס
events,אירועים
love,אהבה
old,ישן
john,ג'ון
main,רָאשִׁי
call,שִׂיחָה
hours,שעה (ות
image,תמונה
department,מַחלָקָה
title,כותרת
description,תיאור
non,לֹא
k,K.
y,y
insurance,ביטוח
another,אַחֵר
why,למה
shall,יהיה
property,תכונה
class,מעמד
cd,CD
still,עוֹד
money,כֶּסֶף
quality,איכות
every,כֹּל
listing,רישום
content,תוֹכֶן
country,מדינה
private,פְּרָטִי
little,קטן
visit,לְבַקֵר
save,להציל
tools,כלים
low,נָמוּך
reply,תשובה
customer,צרכן
december,דֵצֶמבֶּר
compare,לְהַשְׁווֹת
movies,סרטים
include,לִכלוֹל
college,מִכלָלָה
value,ערך
article,מאמר
york,יורק
man,איש
card,כַּרְטִיס
jobs,מקומות תעסוקה
provide,לְסַפֵּק
j,י
food,מזון
source,מָקוֹר
author,מְחַבֵּר
different,שונה
press,ללחוץ
u,u
learn,לִלמוֹד
sale,מְכִירָה
around,סְבִיב
print,הדפס
course,קוּרס
job,עבודה
canada,קנדה
process,תהליך
teen,נער
room,חֶדֶר
stock,המניה
training,הַדְרָכָה
too,גַם
credit,אַשׁרַאי
point,נְקוּדָה
join,לְהִצְטַרֵף
science,מַדָע
men,גברים
categories,קטגוריות
advanced,מִתקַדֵם
west,מַעֲרָב
sales,מכירות
look,תראה
english,אנגלית
left,שמאלה
team,קְבוּצָה
estate,נכס
box,קופסא
conditions,תנאים
select,בחר
windows,חלונות
photos,תמונות
gay,הומו
thread,פְּתִיל
week,שָׁבוּעַ
category,קטגוריה
note,הערה
live,לחיות
large,גָדוֹל
gallery,גלריה
table,שולחן
register,הירשם
however,למרות זאת
june,יוני
october,אוֹקְטוֹבֶּר
november,נוֹבֶמבֶּר
market,שׁוּק
library,סִפְרִיָה
really,בֶּאֱמֶת
action,פעולה
start,הַתחָלָה
series,סִדרָה
model,דֶגֶם
features,מאפיינים
air,אוויר
industry,תַעֲשִׂיָה
plan,לְתַכְנֵן
human,בן אנוש
provided,מסופק
tv,טֵלֶוִיזִיָה
yes,כן
required,נדרש
second,שְׁנִיָה
hot,חַם
accessories,אביזרים
cost,עֲלוּת
